starting frequency (kHz),final frequency (kHz),minimum frequency (kHz),maximum frequency (kHz),mean frequency (kHz),frequency bandwidth (kHz),syllable duration (msec),total syllable energy (dB),peak syllable amplitude (dB),Clean 
34.67,103.76,34.67,104.49,72.08,69.82,28.8,30.22,14.79,0
34.67,68.85,34.67,70.8,60.71,36.13,17.6,15.16,1.65,0
35.4,84.96,34.67,93.75,71.48,59.08,25.6,29.3,15.03,0
50.05,37.35,37.35,58.35,49.27,21,20.8,21.6,14.18,0
45.9,34.67,34.67,54.69,46.04,20.02,19.2,11.82,-2.16,0
35.16,41.75,35.16,74.46,59.25,39.31,16,19.72,1.17,0
41.02,79.83,41.02,88.62,68.81,47.61,24,24.56,9.8,0
45.17,46.88,40.77,86.18,66.22,45.41,28.8,21.45,11.72,0
41.02,34.67,41.02,81.54,57.19,40.53,19.2,27.07,9.21,0
39.79,65.43,39.79,71.53,57.78,31.74,27.2,7.91,-7.09,0
50.78,45.65,34.67,94.48,68.93,59.81,25.6,29.9,11.74,0
79.35,78.13,77.64,84.96,80.2,7.32,17.6,32.79,24.13,0
85.45,59.33,35.16,87.16,71.77,52,35.2,22.37,9.59,0
65.43,66.16,40.53,89.11,71.37,48.58,35.2,27.98,10.92,0
77.64,80.57,34.67,105.22,74.19,70.56,41.6,25.28,11.48,0
34.67,77.15,34.67,105.96,77.23,71.29,48,58.26,43.7,1
60.55,63.96,60.55,85.69,71.58,25.15,28.8,19.24,4.38,0
35.64,60.55,34.91,108.4,73.98,73.49,75.2,61.6,44.42,1
81.54,78.61,78.61,86.67,80.65,8.06,22.4,30.15,18.52,1
83.25,60.55,61.52,87.4,74.79,25.88,51.2,35.23,21.63,1
81.54,81.3,77.88,105.47,84.87,27.59,24,42.93,31.25,1
64.7,55.42,40.53,70.31,61.96,29.79,24,39.83,31.38,1
82.76,81.54,81.54,85.94,83,4.39,33.6,23.55,12.58,1
84.47,82.52,80.81,90.58,84.29,9.77,36.8,37,24.41,1
81.05,80.57,80.57,84.47,81.79,3.91,14.4,21.12,14.89,1
40.53,77.15,40.53,83.01,75.48,42.48,43.2,25.08,11.85,1
40.28,82.52,40.28,84.23,41.55,43.95,25.6,19.17,4.66,0
75.93,72.02,72.02,79.35,73.5,7.32,20.8,24,13.49,1
40.77,73.24,40.77,88.38,79.38,47.61,44.8,38.82,26.12,1
42.72,82.28,42.72,93.02,83.61,50.29,33.6,37.06,26.23,1
80.57,75.93,75.93,82.76,79.26,6.84,28.8,24.63,12.66,1
83.5,66.16,66.89,85.94,75.78,19.04,65.6,26.9,11.12,1
42.48,44.92,39.31,59.81,51.05,20.51,40,18.67,3.91,0
45.9,77.15,34.91,108.64,79.42,73.73,60.8,45.41,32.25,1
34.67,59.08,34.67,81.54,65.61,46.88,20.8,20.16,5.42,0
83.98,81.54,80.32,92.77,84,12.45,30.4,38.7,27.26,1
84.72,34.91,36.38,85.94,67.41,49.56,41.6,10.01,-1.39,0
85.69,87.16,85.69,89.11,86.55,3.42,20.8,11.64,3.69,0
81.05,78.37,78.13,87.16,81.65,9.03,24,34.49,22.32,1
83.98,80.57,80.57,88.13,83.3,7.57,32,27.83,17.53,1
65.43,62.99,62.99,68.12,64.76,5.13,19.2,14.82,4.96,1
81.05,79.1,79.1,84.47,81.52,5.37,25.6,25.51,13.98,1
58.59,68.85,58.59,79.59,73.22,21,24,11.05,-1.6,0
75.2,62.5,62.99,85.45,74.87,22.46,59.2,35.07,24.77,1
80.08,72.27,72.27,83.5,78.35,11.23,38.4,29.36,16.1,1
81.05,80.57,79.1,87.65,82.3,8.54,38.4,33.02,22.65,1
82.76,82.03,82.03,85.21,82.9,3.17,20.8,8.66,0.01,0
44.92,77.39,44.92,82.28,59.5,37.35,33.6,11.27,-0.14,0
34.67,63.96,34.67,74.22,61.97,39.55,28.8,20.21,3.08,0
64.94,37.84,37.84,80.08,64.72,42.24,27.2,14.28,-0.17,0
34.67,36.87,34.67,79.1,61.35,44.43,44.8,16.81,-1.75,0
38.57,38.09,34.67,74.22,51.34,39.55,12.8,24.86,10.85,0
51.51,57.13,51.51,60.06,50.08,8.54,16,11.2,0.08,0
44.68,75.2,42.48,105.71,65.57,63.23,38.4,28.79,14.41,0
34.67,82.76,34.67,104.49,71.47,69.82,36.8,25.92,9.54,0
35.16,46.14,35.16,74.71,57.48,39.55,20.8,22.75,5.06,0
42.24,52.25,42.24,72.75,53.33,30.52,20.8,13.71,-1.35,0
36.62,49.8,36.62,55.91,45.55,19.29,24,12.89,-0.62,0
39.79,68.12,37.11,104.74,79.42,67.63,49.6,50.59,38.17,1
64.45,59.57,59.57,73.24,47.94,13.67,35.2,1.01,-11.92,0
40.53,87.16,40.53,89.11,70.87,48.58,25.6,22.61,9.62,0
72.75,72.27,68.6,81.05,72.05,12.45,20.8,41.58,32.13,1
41.26,69.82,41.26,75.93,61.95,34.67,22.4,21.94,6.63,0
36.87,67.63,36.87,104.98,79.67,68.12,48,42.69,29.69,1
79.83,78.13,78.13,82.76,76.16,4.64,28.8,23.89,16.7,1
50.29,73.97,50.29,85.45,78.22,35.16,81.6,37.98,27.26,1
80.81,59.57,59.57,104.49,79.92,44.92,40,42.87,29.85,1
80.57,79.83,79.83,83.25,80.96,3.42,27.2,18.75,11.35,1
38.82,75.93,38.82,82.28,74.4,43.46,33.6,24.45,14.46,1
38.82,72.02,38.82,79.59,73.64,40.77,40,27.08,13.14,1
41.99,70.8,41.99,83.25,75.84,41.26,73.6,29.61,15.26,1
41.02,71.04,41.02,88.87,79.38,47.85,43.2,31.13,17.51,1
84.23,82.28,81.54,109.38,85.49,27.83,25.6,36.23,25.02,1
43.46,82.76,42.72,93.75,83.71,51.03,38.4,35.35,24.31,1
78.86,78.37,78.13,83.5,79.89,5.37,22.4,23.67,14.26,1
83.01,78.86,78.86,88.38,82.43,9.52,35.2,28.93,17.43,1
84.47,74.95,75.44,88.38,81.38,12.94,48,33.69,19,1
83.5,79.1,40.53,88.87,80.33,48.34,28.8,27.82,16.82,1
41.5,79.35,41.5,89.36,80.8,47.85,28.8,34.08,22.36,1
84.47,82.03,81.54,89.6,84.4,8.06,24,29.17,19.53,1
56.4,77.64,40.28,104.49,71.37,64.21,80,39.03,27.59,1
85.21,72.02,72.75,89.11,80.1,16.36,84.8,34.52,20.35,1
40.04,76.9,40.04,104.49,81.33,64.45,36.8,43.13,30.17,1
82.03,79.83,41.02,106.45,84.91,65.43,33.6,45.37,33.31,1
40.28,82.52,40.28,104.98,86.41,64.7,27.2,43.75,31.39,1
40.53,78.13,40.53,105.47,80.7,64.94,44.8,44.5,30.48,1
39.79,73.97,39.79,104.98,79.72,65.19,28.8,41.88,28.8,1
39.55,77.64,39.55,105.96,81.75,66.41,28.8,43.12,31.83,1
46.88,74.95,43.95,84.23,76.49,40.28,25.6,37.01,25.65,1
42.48,68.36,42.48,96.68,72.04,54.2,25.6,30.55,9.84,0
40.53,60.55,38.82,72.51,64.66,33.69,40,30.9,18.15,1
39.06,52.25,39.06,105.47,77.73,66.41,60.8,54.35,39.33,1
40.28,71.78,38.82,104.49,79.77,65.67,32,46.03,32.81,1
39.31,74.46,38.09,104.49,77.26,66.41,32,48.32,35.03,1
38.82,61.77,38.82,106.93,77.61,68.12,41.6,47.89,34.25,1
44.43,77.88,38.82,104.49,82.39,65.67,32,51.36,38.55,1
43.7,44.68,43.7,52.49,45.65,8.79,14.4,16.72,3.1,1
39.06,62.5,39.06,106.2,78.27,67.14,57.6,55.85,41.68,1
39.55,75.93,38.33,85.21,75.5,46.88,22.4,26.21,17.16,1
78.37,71.04,37.35,105.47,79.54,68.12,51.2,54.21,39.48,1
39.06,59.08,39.06,77.15,67.01,38.09,44.8,36.49,24.85,1
38.57,76.17,38.57,85.45,77.21,46.88,24,32.66,23.44,1
73.97,63.23,39.31,105.22,77.78,65.92,52.8,56.27,41.24,1
75.2,68.85,38.33,104.74,75.25,66.41,28.8,47.61,34.21,1
38.33,42.24,38.33,106.2,77.56,67.87,148.8,55.52,38.77,1
37.11,70.56,37.11,108.4,82.11,71.29,56,50.46,36.14,1
84.96,75.93,75.93,88.38,82.2,12.45,56,36.06,20.07,1
85.69,76.66,76.66,90.58,83.11,13.92,52.8,37.03,23.12,1
78.13,77.15,77.15,84.96,80.6,7.81,28.8,27.29,13.5,1
82.52,80.57,81.05,84.47,77.18,3.42,24,14.48,5.32,1
83.5,68.12,41.99,90.09,79.03,48.1,56,40.48,25.53,1
65.67,79.83,65.67,86.18,77.82,20.51,36.8,24.5,13.3,1
80.57,68.85,68.85,86.43,79.08,17.58,60.8,41.95,25.53,1
40.77,71.04,38.33,87.4,78.6,49.07,40,31.29,16.75,1
73.73,67.63,68.12,85.45,77.55,17.33,56,35.5,21.69,1
36.38,73.24,36.38,91.31,81.5,54.93,44.8,39.74,26.41,1
36.38,71.04,36.38,90.58,80.91,54.2,43.2,41.58,27.57,1
79.35,104.74,71.04,106.69,80.21,35.64,59.2,44.05,29.22,1
85.21,67.63,67.87,108.15,83.46,40.28,44.8,45.44,31.5,1
84.72,60.55,43.7,91.06,80.08,47.36,52.8,38.1,22.93,1
83.5,103.76,71.78,106.2,82.25,34.42,56,39.46,25.33,1
83.01,69.34,70.07,86.43,78.51,16.36,56,36.74,22.32,1
82.03,70.07,70.56,109.13,80.27,38.57,43.2,42.75,28.27,1
81.54,61.52,62.26,88.38,78.84,26.12,46.4,39.76,26.25,1
87.4,69.34,70.07,105.47,82.68,35.4,51.2,45.77,30.85,1
81.05,60.55,60.79,87.65,77.87,26.86,78.4,42.6,28.19,1
52.98,72.27,52.98,106.45,78.76,53.47,96,44.9,32.3,1
80.08,58.35,41.99,104.74,81.22,62.74,56,50.04,35.41,1
43.7,72.75,43.7,108.64,78.39,64.94,41.6,44.11,30.59,1
80.81,70.07,70.56,85.94,78.14,15.38,72,38.69,24.89,1
78.13,72.75,72.75,87.16,79.53,14.4,30.4,40.56,27.13,1
69.34,62.5,68.12,72.27,63,4.15,19.2,19.55,11.47,1
70.56,65.67,42.48,81.05,69.04,38.57,43.2,40.64,27.2,1
42.48,68.85,42.48,104.98,79.63,62.5,46.4,50.94,37.04,1
53.71,72.75,40.77,86.43,62.28,45.65,81.6,13.78,-5.07,1
81.54,68.12,69.34,85.94,78,16.6,27.2,32.42,20.94,1
79.1,62.5,40.28,104.74,78.68,64.45,51.2,43.15,28.69,1
37.11,62.01,37.11,87.65,77.67,50.54,246.4,40.19,25.46,1
42.48,74.95,42.48,86.18,77.95,43.7,27.2,29.48,17.88,1
49.07,61.52,42.48,88.13,76.22,45.65,54.4,39.47,24.94,1
61.52,75.44,42.48,87.65,73.4,45.17,40,29.85,16.44,1
43.21,78.37,40.77,91.55,78.99,50.78,41.6,37.57,25.12,1
37.11,103.27,37.11,106.2,77.85,69.09,248,37.31,21.48,1
37.6,61.77,34.67,109.13,79.02,74.46,48,39.69,25.78,1
42.72,76.17,37.84,92.29,78.55,54.44,35.2,35.83,22.83,1
37.35,78.13,37.35,89.84,80.57,52.49,38.4,37.54,24.17,1
42.24,60.55,42.24,106.45,81.55,64.21,49.6,40.97,26.33,1
38.09,73.24,38.09,87.4,79.46,49.32,41.6,36.92,22.16,1
37.35,103.03,37.35,104.74,69.15,67.38,36.8,26.15,14.15,1
37.11,72.75,37.11,88.38,80.42,51.27,136,35.6,20.62,1
38.33,34.67,36.87,65.19,51.81,28.32,30.4,29.18,12.81,1
85.45,77.15,77.64,89.11,82.15,11.47,49.6,34.07,20.25,1
38.09,81.54,38.09,87.16,55.08,49.07,28.8,13.78,-2.84,1
83.74,74.95,75.93,88.13,81.35,12.21,46.4,32.6,17.92,1
83.98,82.76,83.01,85.69,69.74,2.69,20.8,4.66,-3.39,1
83.5,70.07,70.56,87.16,80.26,16.6,57.6,38.01,22.08,1
37.11,73.97,34.67,88.38,80.83,53.71,54.4,31.35,18.08,1
80.08,70.07,70.56,86.67,78.7,16.11,57.6,34.89,19.9,1
83.98,72.75,73.24,88.38,81.09,15.14,52.8,37.7,23.16,1
82.28,79.83,79.1,92.04,83.47,12.94,38.4,39.16,25.43,1
82.28,73.24,73.97,90.09,81.68,16.11,48,33.12,20.25,1
38.09,73.97,38.09,86.91,79.28,48.83,41.6,30.02,17.35,1
37.84,68.85,37.84,89.36,80.19,51.51,46.4,33.03,18.89,1
39.79,73.24,39.79,105.22,83.79,65.43,43.2,38.88,24.83,1
86.43,85.21,81.05,108.4,86.78,27.34,33.6,38.62,26.96,1
34.67,80.81,34.67,104.49,84.09,69.82,46.4,38.76,26.04,1
80.57,78.13,78.13,88.62,81.47,10.5,33.6,32.83,19.75,1
75.44,70.07,70.56,77.88,73.04,7.32,28.8,22.5,9.02,1
84.23,81.54,81.05,90.58,84.25,9.52,25.6,31.75,19.64,1
80.57,75.44,75.93,83.5,77.44,7.57,44.8,15.91,3.9,1
82.76,76.66,77.15,85.69,80.87,8.54,38.4,24.66,10.5,1
85.94,75.44,75.93,88.38,81.55,12.45,36.8,25.27,12.57,1
84.23,75.44,75.93,88.87,81.65,12.94,67.2,23.39,9.14,1
80.57,77.15,77.64,83.5,78.45,5.86,28.8,14.15,0.93,1
85.45,77.64,78.13,88.87,81.48,10.74,35.2,17.1,4.7,1
82.76,78.61,79.35,84.96,78.84,5.62,30.4,10.16,-2.32,1
83.98,75.44,75.93,87.16,80.56,11.23,32,19.23,5.77,1
84.23,83.25,84.23,85.69,63.17,1.46,14.4,-2.29,-10.06,1
81.79,78.86,79.1,84.72,80.28,5.62,38.4,13.53,-1.85,1
83.98,79.83,80.08,87.16,81.6,7.08,30.4,17.67,4.39,1
80.81,75.44,75.93,84.96,79.54,9.03,54.4,17.12,3.46,1
81.54,78.86,79.35,87.16,81.24,7.81,36.8,20.35,7.25,1
77.88,73.24,73.97,83.5,78.11,9.52,44.8,17.96,3.57,1
82.28,75.68,75.68,86.18,81.28,10.5,38.4,23.19,8.98,1
75.68,72.27,72.51,79.1,74.64,6.59,30.4,13.71,0.27,1
82.76,76.17,76.17,85.94,82.01,9.77,35.2,22.08,8.52,1
82.76,78.86,79.35,87.16,80.71,7.81,25.6,19.83,7.27,1
79.1,76.17,76.17,83.25,79.92,7.08,38.4,18.51,4.63,1
81.54,75.93,75.93,86.18,81.46,10.25,41.6,25.01,10.03,1
71.53,69.34,70.07,73.24,66.49,3.17,17.6,2.16,-10.38,1
82.76,79.1,79.35,83.74,80.99,4.39,17.6,3.53,-7.75,1
83.5,79.59,80.57,87.89,81.91,7.32,33.6,17.94,5.62,1
79.1,78.86,79.1,84.47,79.69,5.37,38.4,16.84,4.16,1
82.28,67.63,67.87,84.23,76.96,16.36,41.6,22.94,8.5,1
84.96,74.22,74.71,87.16,79.45,12.45,40,15.16,0.82,1
83.5,79.59,79.59,86.67,82.85,7.08,48,11.19,-1.06,1
84.23,78.61,79.35,87.4,81.12,8.06,25.6,15.41,3.56,1
82.76,75.93,76.17,84.47,76.97,8.3,19.2,11.08,1.45,1
81.54,78.13,78.37,84.23,78.47,5.86,30.4,13.94,1.11,1
83.5,80.57,81.05,84.96,76.87,3.91,19.2,7.28,-2.84,1
82.76,79.35,79.59,85.21,79.73,5.62,28.8,12.11,-0.58,1
84.47,83.5,84.23,87.65,81.56,3.42,24,10.73,-1.83,1
84.23,79.83,80.57,86.67,81.29,6.1,22.4,21.56,9.2,1
81.05,73.24,73.49,85.21,79.77,11.72,36.8,26.76,13.35,1
79.83,71.53,71.53,84.72,78.61,13.18,36.8,27.2,13.67,1
77.39,73.24,73.24,81.05,77.07,7.81,24,24.27,12.42,1
80.57,71.04,71.04,87.89,79.66,16.85,44.8,40.7,25.32,1
79.83,75.44,75.44,85.45,78.66,10.01,25.6,34.2,23.49,1
79.35,68.12,68.12,88.62,79.23,20.51,59.2,44.66,27.8,1
80.81,72.75,72.75,89.6,79.59,16.85,22.4,38.22,26.32,1
79.83,61.52,62.5,88.87,77.98,26.37,56,44,26.85,1
84.47,63.23,63.96,106.93,78.42,42.97,97.6,47.78,29.84,1
81.05,77.64,77.15,89.84,81.13,12.7,20.8,37.23,25.7,1
79.59,66.89,41.5,108.89,81.14,67.38,51.2,48.64,32.82,1
81.54,71.04,71.04,107.42,81.45,36.38,54.4,46.93,32.42,1
82.76,70.07,70.07,107.67,82.76,37.6,41.6,47.71,33.21,1
74.46,66.16,66.89,78.13,71.79,11.23,33.6,30.69,18.91,1
82.52,71.78,71.78,109.13,82.02,37.35,33.6,41.35,28.21,1
77.39,61.52,62.5,85.69,77.15,23.19,44.8,41.42,25.39,1
82.28,71.04,71.04,109.38,82.26,38.33,33.6,40.93,27.17,1
78.13,63.23,39.06,85.94,76.53,46.88,44.8,36.9,21.29,1
84.96,71.78,72.27,91.06,81.11,18.8,43.2,37.39,21.76,1
77.15,68.12,68.36,79.59,74.48,11.23,38.4,30.01,16.16,1
80.57,75.2,74.71,84.72,78.69,10.01,25.6,27.03,13.7,1
75.68,71.04,71.78,79.35,74.15,7.57,24,23.46,11.24,1
82.52,62.5,40.04,109.13,80.17,69.09,49.6,41.67,25.6,1
81.54,71.04,71.78,90.58,81.1,18.8,36.8,37.14,22.27,1
84.23,71.04,41.75,108.4,84.97,66.65,56,45.28,30.35,1
82.52,71.04,71.78,107.18,83.15,35.4,46.4,42.04,26.58,1
37.35,71.04,37.35,87.65,79.53,50.29,51.2,38.05,23.27,1
85.21,68.85,40.04,91.55,80.21,51.51,44.8,40.23,25.37,1
85.69,73.97,73.97,92.77,82.67,18.8,51.2,37.8,21.65,1
37.6,75.44,37.6,104.49,87.17,66.89,44.8,43.68,28.55,1
37.6,72.51,37.6,106.2,84.14,68.6,49.6,41.41,27.02,1
84.23,80.57,80.57,86.67,83.04,6.1,17.6,14.38,4.46,1
91.06,91.06,91.06,96.44,91.49,5.37,16,10.18,1.36,1
89.6,84.72,84.72,93.99,88.29,9.28,160,18.36,4.79,1
90.58,90.33,90.33,93.99,75.6,3.66,12.8,6.01,-0.8,1
89.84,75.2,75.2,96.44,85.14,21.24,44.8,21.82,5.9,1
37.11,37.11,37.11,50.05,37.11,12.94,57.6,4.71,-10.94,1
70.31,50.78,42.48,85.69,66.85,43.21,68.8,15.07,-8.57,0
75.44,78.13,75.44,82.03,76.83,6.59,27.2,11.13,-1.48,1
71.78,71.78,71.78,73.97,72.18,2.2,11.2,-0.26,-8.01,1
71.04,68.85,69.09,72.51,64.62,3.42,16,1.39,-8.31,1
67.63,69.34,67.63,71.04,68.8,3.42,16,5.14,-4.29,1
99.85,93.75,94.97,104.74,97.67,9.77,24,11.2,1.11,1
72.75,69.09,69.34,75.68,72.34,6.35,33.6,19.26,7.2,1
71.78,68.85,69.34,75.44,70.53,6.1,22.4,17.94,6.74,1
52.98,59.33,41.75,99.61,63.89,57.86,17.6,13.97,-5.27,0
41.5,42.48,34.91,84.96,67.39,50.05,14.4,14.51,-2.73,0
68.12,66.41,46.88,83.74,66.95,36.87,89.6,11.27,-6.48,0
39.55,71.04,39.55,73.49,39.15,33.94,22.4,6.54,-7.41,0
50.78,37.11,40.77,82.52,64.98,41.75,65.6,9.44,-9.06,0
43.21,66.16,39.31,83.74,63.22,44.43,131.2,14.59,-6.75,0
73.24,75.93,72.75,79.59,74.93,6.84,38.4,19.66,8.84,1
77.15,73.24,73.97,79.1,74.38,5.13,38.4,12.16,-1.87,1
73.97,69.58,70.07,78.13,73.01,8.06,36.8,16.69,3.77,1
72.27,68.85,69.09,73.97,67.37,4.88,20.8,4.92,-7.6,1
95.46,91.06,91.31,97.66,84.41,6.35,17.6,6.38,-3.58,1
74.46,70.56,70.8,75.68,69.41,4.88,17.6,5.38,-5.91,1
72.75,73.24,72.75,78.37,75.21,5.62,28.8,15.47,3.16,1
102.05,101.07,101.32,106.69,81.05,5.37,14.4,1.89,-6.32,1
69.09,41.99,41.99,73.49,28.56,31.49,36.8,3.6,-11.4,0
73.97,68.85,68.85,75.2,69.1,6.35,17.6,22.48,11.7,1
73,70.8,71.04,75.2,72.73,4.15,14.4,18.11,9.99,1
69.34,67.87,67.63,72.02,69.14,4.39,17.6,15.68,5.94,1
42.24,50.78,42.24,60.55,51.11,18.31,22.4,9.46,-6.07,0
76.9,74.95,74.95,79.1,76.47,4.15,17.6,10.56,2.83,0
67.87,66.16,54.93,70.31,56.53,15.38,19.2,4.11,-8.23,0
46.63,70.56,46.63,75.2,67.86,28.56,51.2,17.77,2.59,1
75.93,70.56,38.33,79.35,72.11,41.02,67.2,15.42,-0.45,1
74.46,70.31,70.31,75.93,72.4,5.62,36.8,11.62,-1.07,1
77.64,70.31,71.04,79.1,73.88,8.06,35.2,14.46,0.44,1
72.51,70.56,70.56,74.46,72.01,3.91,20.8,10.74,0.09,1
70.56,68.85,68.85,72.75,70.31,3.91,25.6,9.79,-3.17,1
72.02,67.63,68.12,73,68.5,4.88,35.2,8.86,-4.38,1
43.21,70.07,43.21,79.1,68.17,35.89,76.8,26.86,14.08,1
69.34,61.04,61.04,72.51,67.61,11.47,22.4,29.19,17.67,1
67.63,54.2,36.38,79.1,67.44,42.72,88,46.04,31.31,1
43.7,65.92,36.13,83.74,69.98,47.61,49.6,37.29,22.31,1
66.65,48.34,48.34,73,64.87,24.66,51.2,37.44,23.16,1
73.97,60.55,46.88,91.31,72.23,44.43,57.6,39.29,25.88,1
54.2,52.25,52.25,59.81,55.04,7.57,24,20.98,10.13,1
67.38,65.43,65.67,68.85,57.2,3.17,14.4,5.92,-1.58,0
66.89,63.96,63.96,79.35,72.07,15.38,40,37.71,24.46,1
58.11,54.2,54.2,62.5,57.62,8.3,30.4,18.47,6.19,1
67.87,64.94,65.43,79.83,70.4,14.4,32,19.39,7.63,1
63.96,57.13,58.35,70.56,64.81,12.21,40,28.53,13.04,1
64.21,50.05,50.29,67.14,62.81,16.85,60.8,14.23,-1.25,1
36.62,61.52,36.62,71.04,65.4,34.42,40,26.18,14.26,1
61.52,61.52,61.52,65.92,62.79,4.39,27.2,16.58,3.95,1
98.14,97.41,98.14,106.93,98.34,8.79,30.4,7.2,-0.33,1
69.82,66.89,67.14,71.78,65.67,4.64,20.8,6.79,-4.54,1
70.07,67.63,68.12,71.78,64.94,3.66,19.2,5.36,-5.91,1
69.09,68.85,69.09,70.8,59.36,1.71,14.4,0.87,-8.63,1
73.97,68.85,69.34,76.66,71.74,7.32,28.8,14.46,1.41,1
74.71,71.04,71.29,78.86,74.1,7.57,30.4,13.03,-0.21,1
69.09,68.85,69.09,72.27,65.17,3.17,19.2,3.04,-8.08,1
104.25,100.83,100.83,104.49,102.98,3.66,22.4,18.89,7,1
74.71,72.75,73,76.42,63.9,3.42,27.2,1.87,-6.73,1
70.56,68.36,68.36,72.27,69.96,3.91,19.2,6.04,-4.81,1
101.07,102.29,101.07,104.49,103.25,3.42,22.4,20.47,9.7,1
104,104.49,104,104.74,104.42,0.73,16,15.79,6.51,1
70.56,69.82,70.07,71.78,70.2,1.71,41.6,5.74,-7.86,1
62.5,57.62,57.62,66.16,61.65,8.54,126.4,23.21,12.15,1
38.09,57.13,37.6,74.71,65.69,37.11,97.6,46.97,29.85,1
58.35,57.13,58.35,62.99,55.21,4.64,24,15.77,7.64,1
63.96,54.2,41.5,72.02,63.62,30.52,64,42.77,28.36,1
51.76,50.05,50.05,56.88,51.49,6.84,28.8,14.63,2.39,1
59.33,57.62,42.48,74.71,65.52,32.23,113.6,43.45,28.23,1
53.71,50.05,50.05,58.11,52.92,8.06,22.4,16.67,4.75,1
62.74,55.42,35.64,109.13,66.93,73.49,65.6,50.28,33.85,1
88.13,85.94,85.94,91.8,79.03,5.86,14.4,15.63,8.61,1
63.23,86.43,35.89,98.63,66.02,62.74,105.6,49.75,32.93,1
62.5,55.91,55.91,72.02,64.22,16.11,24,34.69,25.01,1
59.57,50.05,40.04,70.8,59.61,30.76,73.6,39.59,23.13,1
60.06,84.23,41.02,106.93,63.95,65.92,108.8,54,37.89,1
60.55,55.91,39.79,72.51,61.2,32.71,19.2,41.45,32.28,1
57.13,55.42,40.53,75.2,60.06,34.67,57.6,48.03,34.54,1
69.82,51.03,35.89,105.96,67.83,70.07,51.2,49.06,33.88,1
62.5,58.35,58.35,70.31,64.89,11.96,52.8,31.17,19.72,1
60.3,54.2,54.2,68.6,62.7,14.4,44.8,36.54,21.12,1
65.43,54.2,54.2,69.09,63.47,14.89,41.6,27.98,12.17,1
84.47,83.98,84.23,85.94,84.35,1.71,11.2,-0.76,-7.2,1
64.94,88.87,52.25,95.46,66.91,43.21,52.8,33.83,19.41,1
71.78,60.55,61.52,74.71,67.41,13.18,27.2,19.45,7.75,1
68.85,83.5,61.77,97.66,68.5,35.89,43.2,25.35,13.79,1
68.12,83.5,62.26,109.13,76.96,46.88,36.8,27.15,11.71,1
51.76,46.88,46.88,76.9,49.64,30.03,20.8,20.18,4.63,1
53.22,87.16,35.64,104.49,72.1,68.85,140.8,31.54,17.55,1
67.63,66.89,66.89,69.58,67.69,2.69,16,8.01,-1.57,1
58.11,66.16,35.89,83.01,67.52,47.12,91.2,30.94,17.19,1
74.22,45.41,39.55,99.12,71.94,59.57,124.8,29.58,13.11,1
71.04,60.55,62.26,73.97,67.02,11.72,38.4,14.94,2.05,1
70.07,61.52,66.16,71.29,65.05,5.13,28.8,11.78,-0.48,1
98.63,93.51,93.51,107.91,94.28,14.4,16,23.98,13.51,1
69.34,66.65,66.65,70.8,68.67,4.15,20.8,8.05,-3.17,1
98.39,101.07,98.39,106.45,102.45,8.06,14.4,18.67,9.62,1
69.09,92.04,66.89,103.52,73.4,36.62,28.8,15.49,7.96,1
96.92,96.44,96.19,108.64,97.63,12.45,20.8,13.78,1.42,1
62.5,99.61,62.26,108.15,92.3,45.9,32,21.09,12.04,1
100.83,98.39,98.14,108.4,100.86,10.25,24,18.65,7.47,1
70.56,69.09,69.09,72.27,70.13,3.17,14.4,0.65,-9.11,1
70.07,67.14,67.63,71.29,69.38,3.66,20.8,8.89,-3.29,1
91.55,85.94,85.69,94.97,88.16,9.28,20.8,10.07,-1.24,1
72.27,68.12,68.85,73.97,68.93,5.13,24,8.45,-4.86,1
70.56,69.82,69.82,72.51,70.82,2.69,19.2,3.34,-8.38,1
95.95,93.26,93.26,103.27,94.91,10.01,24,13.16,-0.56,1
72.02,69.34,69.58,76.9,72.15,7.32,33.6,10.67,-1.58,1
71.78,70.56,71.04,73.97,66.63,2.93,17.6,5,-5.2,1
93.99,93.99,93.99,98.39,95.03,4.39,16,4.09,-2.73,1
67.87,67.63,67.87,71.78,66.12,3.91,30.4,8.09,-3.23,1
72.02,66.16,66.89,73.97,68.7,7.08,28.8,9.47,-2.8,1
71.78,68.85,69.09,74.22,70.09,5.13,40,12.53,-1.59,1
72.75,70.31,70.31,75.44,72.61,5.13,24,12.05,-0.89,1
96.44,94.97,94.97,105.71,97.74,10.74,14.4,16.16,8.64,1
71.04,67.87,67.87,73.97,70.65,6.1,24,14.19,1.77,1
71.53,67.87,67.87,74.46,69.68,6.59,30.4,11.09,-2.94,1
83.25,91.06,83.25,96.68,89.02,13.43,22.4,16.8,7.71,1
69.58,68.12,68.36,72.27,64.89,3.91,17.6,2.62,-8.37,1
69.34,68.85,69.34,73,67.96,3.66,33.6,10.5,-0.78,1
75.44,71.29,71.29,79.1,75.61,7.81,35.2,12.52,1.06,1
95.21,89.6,89.6,99.12,92.73,9.52,19.2,9.88,-1.35,1
38.09,64.94,38.09,76.42,70.7,38.33,68.8,22.45,8.16,1
71.04,92.04,60.79,92.04,67.96,31.25,60.8,20.66,7.63,1
105.96,99.12,100.83,104.49,103.19,3.66,20.8,19.29,9.14,1
87.16,85.69,85.94,88.87,69.04,2.93,12.8,1.01,-7.44,1
69.34,95.21,66.89,106.93,72.66,40.04,68.8,19.52,6.89,1
